,byte_track_id,subtrack_id,label,start_ms,end_ms,duration_ms,frames,avg_similarity
0,2,0,KIM,7501.098659889094,8834.627310536045,1333.5286506469502,32,0.715920627117157
1,1,0,RINNA,0.0,6084.22446857671,6084.22446857671,146,0.8112538594465989
2,1,1,KIM,6084.22446857671,19461.183745378927,13376.959276802218,321,0.8486907167094094
3,5,0,KYLE,23295.07861598891,29129.26646256932,5834.187846580407,140,0.8210858332259314
4,1,0,KIM,19502.856515711646,21378.13118068392,1875.2746649722735,45,0.7631737695799934
5,5,0,KYLE,23295.07861598891,26878.93686460259,3583.8582486136784,86,0.8386113783459604
6,5,1,YOLANDA,26878.936864602587,29129.26646256931,2250.329597966728,54,0.0
7,23,0,KYLE,59967.11650878004,62009.08225508318,2041.9657463031424,49,0.8104423381844346
8,20,0,KIM,53466.16433687616,61467.33624075786,8001.171903881701,192,0.8148035940371061
9,20,1,YOLANDA,61467.33624075785,64384.430164048055,2917.0939232902033,70,0.0
10,15,0,KIM,45756.70182532348,66926.46915434381,21169.76732902033,508,0.811376446227389
11,15,1,KIM,45756.70182532348,66926.46915434381,21169.76732902033,508,0.811376446227389
12,32,0,BRANDI,85554.19749306838,88387.94587569314,2833.7483826247685,68,0.7603770135080113
13,24,0,KYLE,64384.430164048055,70718.69125462107,6334.261090573013,152,0.8586013552088004
14,24,1,RINNA,70718.69125462108,90138.2022296673,19419.51097504621,466,0.0
